Algorithm,Fitness Mean,Fitness Std,Fitness Min,Fitness Max,Features Mean,Features Std
GA,0.9759412565336646,0.0014989127334090468,0.972056978730011,0.978934171712467,14.233333333333333,2.1084486134491294
PSO,0.9732695440666563,0.0013904263302794288,0.9703201366247478,0.977252134761683,13.733333333333333,2.308438625757438
SA,0.9706848160223568,0.0015797571503763186,0.9682345909020338,0.9751973296072038,14.7,2.72213151776324
SHAP,0.9581462143559488,0.0028281076276790444,0.9523398540599287,0.9626359260984321,17.566666666666666,5.136038248386482
